"grappe","menage","vague","s08aq00","s08aq01","s08aq02","s08aq03","s08aq04","s08aq05","s08aq06","s08aq07","s08aq07a","s08aq08","s08aq08a"
2,1,2,1,2,2,2,2,2,2,2,,2,
2,3,2,2,2,2,1,1,2,2,1,2,2,
2,4,2,2,2,2,1,2,2,2,2,,2,
2,5,2,2,1,2,1,1,1,2,1,3,2,
2,6,2,1,2,2,2,2,2,2,2,,2,
2,7,2,1,2,2,2,2,2,2,2,,2,
2,8,2,1,2,2,1,1,2,2,2,,2,
2,12,2,1,2,2,2,2,2,2,2,,2,
2,13,2,2,1,2,1,1,2,2,2,,2,
2,14,2,1,2,2,2,2,2,2,2,,2,
2,15,2,1,1,2,1,1,2,2,2,,2,
2,16,2,1,2,2,2,2,2,2,2,,2,
3,2,1,1,2,2,2,2,2,2,2,,2,
3,3,1,1,2,2,2,2,2,2,2,,2,
3,4,1,13,2,2,2,2,2,2,2,,2,
3,5,1,2,2,2,1,2,1,2,2,,2,
3,6,1,1,2,2,2,2,2,2,2,,2,
3,7,1,1,2,2,2,2,2,2,2,,2,
3,9,1,1,2,2,1,2,1,2,2,,2,
3,13,1,1,1,1,1,1,1,1,1,2,1,2
3,14,1,2,2,2,2,2,2,2,2,,2,
3,15,1,2,1,1,1,1,1,1,1,1,1,1
3,16,1,1,2,2,2,2,2,2,2,,2,
3,17,1,4,2,2,2,2,2,2,2,,2,
4,1,2,1,2,2,2,2,2,2,2,,2,
4,2,2,1,2,2,2,2,2,2,2,,2,
4,3,2,1,2,2,2,1,2,2,2,,2,
4,4,2,1,1,2,1,1,1,2,1,3,2,
4,5,2,3,2,2,2,2,2,2,2,,2,
4,7,2,3,2,2,2,2,2,2,2,,2,
4,8,2,1,2,2,2,2,2,2,2,,2,
4,9,2,2,2,2,1,2,1,2,2,,2,
4,11,2,2,2,2,2,2,2,2,2,,2,
4,12,2,1,2,2,2,2,2,2,2,,2,
4,13,2,1,1,2,1,1,1,2,1,3,2,
5,2,1,2,2,2,2,2,2,2,2,,2,
5,4,1,2,2,2,1,2,2,2,2,,2,
5,5,1,1,2,2,2,2,2,2,2,,2,
5,6,1,5,1,1,1,1,2,1,1,1,1,1
5,7,1,2,2,2,2,2,2,2,2,,2,
5,9,1,1,99,1,1,2,2,2,2,,2,
5,10,1,8,2,2,2,2,2,2,2,,2,
5,11,1,5,2,2,2,2,2,2,2,,2,
5,12,1,4,2,2,2,2,2,2,2,,2,
5,13,1,1,2,2,1,2,2,2,2,,2,
5,14,1,3,2,2,2,2,2,2,2,,2,
5,15,1,1,2,2,2,2,2,2,2,,2,
6,2,2,2,2,2,2,2,2,2,2,,2,
6,3,2,1,1,2,1,1,2,1,1,3,2,
6,4,2,1,2,2,2,2,2,2,2,,2,
6,5,2,1,2,2,2,1,2,2,2,,2,
6,6,2,2,2,2,1,2,2,2,2,,2,
6,7,2,6,1,1,1,1,1,1,2,,2,
6,8,2,1,2,2,2,2,2,2,2,,2,
6,10,2,2,1,2,2,1,2,1,2,,2,
6,11,2,2,2,2,2,2,2,2,2,,2,
6,12,2,1,1,2,1,1,2,1,1,2,2,
6,13,2,1,2,2,1,1,2,2,2,,2,
6,14,2,1,2,2,1,2,1,2,2,,2,
7,1,1,1,2,2,2,2,2,2,2,,2,
7,2,1,1,2,2,2,2,2,2,2,,2,
7,3,1,2,2,2,2,2,2,2,2,,2,
7,13,1,2,2,2,2,2,2,2,2,,2,
7,14,1,1,1,2,1,2,1,2,2,,2,
7,15,1,2,2,2,2,2,2,2,2,,2,
