hhid,adm1,adm2,res,pc_expenditure,sep_quintile,res_quintile,year,month,survey_wgt,afe,ea
2_5,Dakar,Dakar,Urban,2288873.75,1,1,2022,5,386.207311277568,2.992775905718027,2
2_15,Dakar,Dakar,Urban,1806940.125,1,1,2022,6,386.207311277568,2.133195285901353,2
2_3,Dakar,Dakar,Urban,3398240.75,3,2,2022,6,386.207311277568,3.6882814491488434,2
2_13,Dakar,Dakar,Urban,4846636.5,4,3,2022,6,386.207311277568,5.577390484504583,2
2_8,Dakar,Dakar,Urban,2546811.25,2,1,2022,7,290.067804639795,1.2435848101265823,2
2_16,Dakar,Dakar,Urban,5647738.5,4,4,2022,7,386.207311277568,4.615410563072894,2
2_7,Dakar,Dakar,Urban,6466616.5,5,4,2022,6,290.067804639795,0.9929518987341772,2
2_4,Dakar,Dakar,Urban,14370374,5,5,2022,7,290.067804639795,3.4870816237450897,2
2_1,Dakar,Dakar,Urban,6197145,4,4,2022,5,290.067804639795,8.455669663902226,2
2_12,Dakar,Dakar,Urban,3741090.25,3,2,2022,5,290.067804639795,6.012116281099956,2
2_14,Dakar,Dakar,Urban,2831864.75,2,2,2022,7,386.207311277568,3.371412309035356,2
2_6,Dakar,Dakar,Urban,8573694,5,5,2022,5,290.067804639795,2.3736785683107815,2
3_7,Dakar,Dakar,Urban,2700223.25,2,1,2021,11,480.070134453419,1.0362681798341336,3
3_13,Dakar,Dakar,Urban,2480573.5,2,1,2021,11,429.925525048257,2.0841784373635965,3
3_9,Dakar,Dakar,Urban,4481700.5,3,3,2021,11,480.070134453419,4.757270013094718,3
3_5,Dakar,Dakar,Urban,7306441.5,5,4,2021,11,429.925525048257,3.8332193801833263,3
3_2,Dakar,Dakar,Urban,16733810,5,5,2021,11,480.070134453419,2.454846268005238,3
3_16,Dakar,Dakar,Urban,2458812,2,1,2021,12,429.925525048257,1.2836284591881275,3
3_17,Dakar,Dakar,Urban,16267032,5,5,2021,12,429.925525048257,8.47272143168922,3
3_14,Dakar,Dakar,Urban,4653310.5,4,3,2021,11,429.925525048257,3.0840904408555216,3
3_6,Dakar,Dakar,Urban,3849942.5,3,2,2021,11,480.070134453419,3.559096639022261,3
3_4,Dakar,Dakar,Urban,10606219,5,5,2021,11,429.925525048257,8.072130597992144,3
3_3,Dakar,Dakar,Urban,1533025.875,1,1,2021,12,480.070134453419,1.2435848101265823,3
3_15,Dakar,Dakar,Urban,1275945.125,1,1,2021,11,429.925525048257,1.0362681798341336,3
4_3,Dakar,Dakar,Urban,8383229.5,5,5,2022,8,235.235960805284,9.097617459624619,4
4_8,Dakar,Dakar,Urban,2580936.5,2,1,2022,5,235.235960805284,1.2435848101265823,4
4_12,Dakar,Dakar,Urban,6226756.5,4,4,2022,5,235.235960805284,7.485874465298997,4
4_4,Dakar,Dakar,Urban,2246948.75,1,1,2022,8,235.235960805284,4.847109908336971,4
4_2,Dakar,Dakar,Urban,4122501.5,3,3,2022,5,235.235960805284,3.345635617634221,4
4_11,Dakar,Dakar,Urban,8518276,5,5,2022,6,361.52214447730603,13.070276036665213,4
4_9,Dakar,Dakar,Urban,1868929.5,1,1,2022,5,235.235960805284,2.9785470100392843,4
4_1,Dakar,Dakar,Urban,1192986.375,1,1,2022,5,235.235960805284,1.0362681798341336,4
4_7,Dakar,Dakar,Urban,2422514.5,2,1,2022,5,361.52214447730603,1.931406721955478,4
4_5,Dakar,Dakar,Urban,1920891.75,1,1,2022,8,235.235960805284,1.2435848101265823,4
4_13,Dakar,Dakar,Urban,1858686.25,1,1,2022,7,361.52214447730603,1.2435848101265823,4
5_9,Dakar,Dakar,Urban,5790986.5,4,4,2021,12,380.292260704683,3.1261471846355304,5
5_6,Dakar,Dakar,Urban,4550518.5,4,3,2021,11,380.292260704683,9.203139589698822,5
